,Date,Open,High,Low,Close,Adj Close,Volume,Percentage,Daily Returns %,Moving AGV 7 Day,Moving AGV 30 Day,Year
1904,2018-01-22,69.879997,71.566002,69.839996,70.311996,70.311996,31052000,0.614402981818338,0.43997201416980936,68.78685628571428,66.06366676666667,2018
1905,2018-01-23,72.0,72.099998,70.199997,70.557999,70.557999,27327000,-2.0437101681412546,0.34987344122616726,69.21085671428571,66.3406667,2018
1906,2018-01-24,70.916,70.949997,68.704002,69.178001,69.178001,26437500,-2.5123579387614887,-1.9558349436752054,69.48714214285714,66.54573336666667,2018
1907,2018-01-25,69.653999,69.839996,67.279999,67.528,67.528,33701500,-3.1483221774671146,-2.3851527597624433,69.41799914285714,66.60393343333334,2018
1908,2018-01-26,68.300003,68.800003,67.141998,68.57,68.57,22697000,0.3937538282047388,1.5430636180547186,69.29485642857142,66.61606673333333,2018
1909,2018-01-29,67.970001,70.169998,67.655998,69.905998,69.905998,23735500,2.769429026676653,1.9483710077293326,69.43657028571428,66.68606666666668,2018
1910,2018-01-30,69.028,69.653999,68.433998,69.164001,69.164001,23588500,0.19663553009316675,-1.061421081492886,69.3165707142857,66.73893326666666,2018
1911,2018-01-31,69.501999,71.237999,69.038002,70.862,70.862,31070500,1.9192246902430032,2.4550329296305407,69.39514271428571,66.81133319999999,2018
1912,2018-02-01,70.199997,71.931999,69.725998,69.849998,69.849998,20988500,-0.5010723121280503,-1.4281307329739423,69.29399971428572,66.88053306666667,2018
1913,2018-02-02,69.688004,70.389999,68.101997,68.75,68.75,18524000,-1.3643694545454639,-1.5748003314187575,69.23285671428572,66.96486636666667,2018
1914,2018-02-05,67.594002,68.893997,66.599998,66.625999,66.625999,22320500,-1.4528907851723323,-3.0894560000000126,69.10399942857143,66.99253306666667,2018
1915,2018-02-06,65.042,67.244003,64.699997,66.793999,66.793999,25442000,2.6229886310595028,0.25215381761105604,68.850285,67.00793300000001,2018
1916,2018-02-07,67.797997,69.199997,67.132004,69.0,69.0,34846000,1.7420333333333402,3.302693405136581,68.7208567142857,67.13993296666666,2018
1917,2018-02-08,68.662003,69.723999,62.919998,63.046001,63.046001,51573000,-8.907784650766354,-8.628984057971023,67.84685671428572,67.12619966666666,2018
1918,2018-02-09,63.986,64.195999,58.952,62.084,62.084,64668500,-3.06359126344951,-1.525871561623704,66.59285671428572,67.11806636666667,2018
1919,2018-02-12,63.226002,63.616001,61.25,63.146,63.146,31139000,-0.12669369397903327,1.7105856581405732,65.6351427142857,67.12053306666667,2018
1920,2018-02-13,63.004002,64.837997,62.501999,64.732002,64.732002,22801000,2.6694678777276106,2.511642859405172,65.061143,67.2025998,2018
1921,2018-02-14,64.167999,65.234001,63.703999,64.461998,64.461998,19753500,0.45608111619500136,-0.4171105352187343,64.752,67.2144663,2018
1922,2018-02-15,64.900002,66.823997,64.480003,66.814003,66.814003,29564500,2.8646704493966615,3.6486690964806945,64.75485771428572,67.3265997,2018
1923,2018-02-16,66.5,68.624001,66.328003,67.098,67.098,28213000,0.8912337178455378,0.42505610687628703,64.48314342857142,67.46573303333334,2018
1924,2018-02-20,66.893997,68.167999,66.300003,66.954002,66.954002,20047000,0.08962122981088398,-0.21460848311424252,65.04142928571427,67.5869997,2018
1925,2018-02-21,67.206001,67.938004,66.634003,66.660004,66.660004,16098000,-0.8190773585912173,-0.4391044466617533,65.69514414285713,67.56626656666667,2018
1926,2018-02-22,67.106003,69.487999,66.949997,69.234001,69.234001,34849000,3.0736314083596077,3.8613814064577756,66.56485857142857,67.64946663333333,2018
1927,2018-02-23,69.566002,70.998001,69.419998,70.410004,70.410004,29087000,1.198696139826953,1.6985917078517376,67.37600171428572,67.7644668,2018
1928,2018-02-26,70.699997,71.800003,70.472,71.484001,71.484001,21700000,1.096754503151006,1.5253471651556882,68.37914500000001,67.89426696666666,2018
1929,2018-02-27,71.25,71.998001,70.001999,70.197998,70.197998,23987000,-1.498621086031544,-1.7990081444937744,68.86257285714285,67.99273346666666,2018
1930,2018-02-28,70.514,71.047997,68.444,68.612,68.612,30348500,-2.7721098350142848,-2.2593208427397093,69.07885857142858,68.01273343333334,2018
1931,2018-03-01,69.001999,69.734001,66.014,66.185997,66.185997,34428000,-4.254679430151966,-3.5358290095027,68.96914357142857,67.90453336666667,2018
1932,2018-03-02,65.396004,67.043999,64.594002,67.024002,67.024002,25464000,2.4289776071563005,1.26613640042319,69.02114328571429,67.84153339999999,2018
1933,2018-03-05,66.477997,67.550003,65.858002,66.669998,66.669998,19119000,0.28798710928415616,-0.528174966335182,68.65485714285714,67.73040006666666,2018
1934,2018-03-06,66.75,67.274002,65.405998,65.639999,65.639999,21428500,-1.691043596755687,-1.5449213002826312,67.97342785714285,67.57466683333332,2018
1935,2018-03-07,65.087997,66.5,64.348,66.459999,66.459999,25036500,2.064402679271775,1.2492382883796171,67.25571328571428,67.43806683333334,2018
1936,2018-03-08,66.571999,66.660004,65.253998,65.82,65.82,17831000,-1.1425083561227776,-0.9629837641135119,66.630285,67.32613346666668,2018
1937,2018-03-09,64.82,65.697998,64.473999,65.433998,65.433998,27534000,0.9383470653894774,-0.5864509267699658,66.17628471428571,67.2563334,2018
